1, 2, 4, 2.43077
1, 4, 8, 6
1, 8, 12.8, 9.87897
1, 16, 16, 13.379
1, 32, 16.7869, 15.7294
1, 64, 18.4505, 17.1548
1, 128, 18.4921, 17.919
1, 256, 19.4066, 18.9925
1, 512, 19.7427, 18.9861
1, 1024, 19.3868, 19.2534
1, 2048, 18.8915, 18.7243
1, 3072, 18.6475, 18.3894
1, 4096, 19.486, 19.3192
2, 2, 2, 1.40421
2, 4, 8, 4.55216
2, 8, 16, 11.8014
2, 16, 28.4444, 20.4528
2, 32, 32, 26.1461
2, 64, 34.1333, 29.9664
2, 128, 36.9842, 34.0288
2, 256, 35.4249, 34.751
2, 512, 38.8189, 37.6097
2, 1024, 38.1023, 37.3088
2, 2048, 38.5329, 38.1822
2, 3072, 36.4281, 35.7427
2, 4096, 37.2264, 36.754
4, 2, 1.33333, 0.730373
4, 4, 5.33333, 2.94143
4, 8, 16, 9.20289
4, 16, 36.5714, 25.0846
4, 32, 46.5455, 35.0602
4, 64, 65.0159, 51.9417
4, 128, 67.7025, 59.2245
4, 256, 71.1574, 66.2716
4, 512, 69.7563, 67.5905
4, 1024, 70.1952, 68.9533
4, 2048, 66.5667, 60.2896
4, 3072, 67.4808, 65.0904
4, 4096, 69.0145, 67.3219
6, 2, 0.8, 0.508002
6, 4, 3.2, 1.84921
6, 8, 10.6667, 6.97008
6, 16, 36.5714, 23.9636
6, 32, 64, 44.8173
6, 64, 77.283, 57.8858
6, 128, 81.1089, 68.3446
6, 256, 83.3791, 75.0008
6, 512, 81.6139, 77.1773
6, 1024, 81.3985, 78.886
6, 2048, 81.952, 80.4705
6, 3072, 83.0321, 81.5709
6, 4096, 84.0967, 82.9555
8, 2, 0.8, 0.541978
8, 4, 2.66667, 1.74999
8, 8, 9.14286, 6.69537
8, 16, 32, 22.959
8, 32, 64, 48.682
8, 64, 95.2558, 74.1944
8, 128, 106.39, 87.9114
8, 256, 109.96, 92.162
8, 512, 102.6, 93.9195
8, 1024, 104.18, 100.323
8, 2048, 106.139, 104.622
8, 3072, 105.845, 102.457
8, 4096, 106.059, 102.061
